Player ID,Player Number,First Name,Last Name,DOB,Round,For,Against,Debut Date
DASY14Jun187408May1897,1,Dave,Adamson,14-Jun-1874,R1,SY,ME,08-May-1897
JASY06Jan187308May1897,2,Jack,Adamson,06-Jan-1873,R1,SY,ME,08-May-1897
BASK25Jun187408May1897,3,Bill,Ahern,25-Jun-1874,R1,SK,CW,08-May-1897
BACA02Mar186508May1897,4,Bill,Ahern,02-Mar-1865,R1,CA,FI,08-May-1897
JACA15May187208May1897,5,Jimmy,Aitken,15-May-1872,R1,CA,FI,08-May-1897
JAES17Nov186908May1897,6,Jim,Anderson,17-Nov-1869,R1,ES,GE,08-May-1897
BACA25Jul187208May1897,7,Bob,Armstrong,25-Jul-1872,R1,CA,FI,08-May-1897
IAFI28Apr187608May1897,8,Ivan,Astruc,28-Apr-1876,R1,FI,CA,08-May-1897
HASK16Dec187008May1897,9,Harry,Aylwin,16-Dec-1870,R1,SK,CW,08-May-1897
TBFI17Jun186708May1897,10,Tom,Banks,17-Jun-1867,R1,FI,CA,08-May-1897
SBES08Mar187708May1897,11,Son,Barry,08-Mar-1877,R1,ES,GE,08-May-1897
ABSK20Mar187408May1897,12,Alf,Bedford,20-Mar-1874,R1,SK,CW,08-May-1897
BBSK13Aug187808May1897,13,Billy,Beggs,13-Aug-1878,R1,SK,CW,08-May-1897
FBME06Apr187308May1897,14,Fred,Blackham,06-Apr-1873,R1,ME,SY,08-May-1897
BBSY13Feb187308May1897,15,Bill,Blackwood,13-Feb-1873,R1,SY,ME,08-May-1897
TBCA15Jul187208May1897,16,Tom,Blake,15-Jul-1872,R1,CA,FI,08-May-1897
OBCA15Nov187608May1897,17,Otto,Buck,15-Nov-1876,R1,CA,FI,08-May-1897
PBGE05Jan186608May1897,18,Peter,Burns,05-Jan-1866,R1,GE,ES,08-May-1897
ABSY31Aug187008May1897,19,Allen,Burns,31-Aug-1870,R1,SY,ME,08-May-1897
GCCW24Aug187408May1897,20,George,Calleson,24-Aug-1874,R1,CW,SK,08-May-1897
BCCA03May187708May1897,21,Bob,Cameron,03-May-1877,R1,CA,FI,08-May-1897
BCCA18Dec187208May1897,22,Bill,Casey,18-Dec-1872,R1,CA,FI,08-May-1897
ACES01Dec187308May1897,23,Arthur,Cleghorn,01-Dec-1873,R1,ES,GE,08-May-1897
MCES21Jul187608May1897,24,Maurie,Collins,21-Jul-1876,R1,ES,GE,08-May-1897
TCES30Jan187608May1897,25,Tod,Collins,30-Jan-1876,R1,ES,GE,08-May-1897
DCCW19Mar187608May1897,26,Dick,Condon,19-Mar-1876,R1,CW,SK,08-May-1897
JCGE26Mar186708May1897,27,Jack,Conway,26-Mar-1867,R1,GE,ES,08-May-1897
ACCA19Aug187608May1897,28,Arthur,Cummins,19-Aug-1876,R1,CA,FI,08-May-1897
JDFI15Apr187608May1897,29,Jack,Dalton,15-Apr-1876,R1,FI,CA,08-May-1897
JDES29Jan187508May1897,30,Jim,Darcy,29-Jan-1875,R1,ES,GE,08-May-1897
JDSY05Nov187508May1897,31,Jack,Deas,05-Nov-1875,R1,SY,ME,08-May-1897
PDFI31Dec187708May1897,32,Pat,Descrimes,31-Dec-1877,R1,FI,CA,08-May-1897
CDCW12Jan187408May1897,33,Charlie,Dow,12-Jan-1874,R1,CW,SK,08-May-1897
HDCW29Jun187208May1897,34,Harry,Dowdall,29-Jun-1872,R1,CW,SK,08-May-1897
DDSK14Apr187608May1897,35,Danny,Dunne,14-Apr-1876,R1,SK,CW,08-May-1897
EDSK20Jul187308May1897,36,Ernie,Dunne,20-Jul-1873,R1,SK,CW,08-May-1897
HDCA21Feb187208May1897,37,Henry,Dunne,21-Feb-1872,R1,CA,FI,08-May-1897
CFES08May186508May1897,38,Charlie,Forbes,08-May-1865,R1,ES,GE,08-May-1897
BFSY29Mar186708May1897,39,Bill,Fraser,29-Mar-1867,R1,SY,ME,08-May-1897
HFME28Oct187008May1897,40,Herb,Fry,28-Oct-1870,R1,ME,SY,08-May-1897
AGCW28Dec187208May1897,41,Arthur,Gibbs,28-Dec-1872,R1,CW,SK,08-May-1897
DGSY13Jul186608May1897,42,Dick,Gibson,13-Jul-1866,R1,SY,ME,08-May-1897
WGCW10Jul187408May1897,43,Wal,Gillard,10-Jul-1874,R1,CW,SK,08-May-1897
TGSY21Jun187408May1897,44,Tom,Gilligan,21-Jun-1874,R1,SY,ME,08-May-1897
CGME03Aug187608May1897,45,Charlie,Goding,03-Aug-1876,R1,ME,SY,08-May-1897
HGSK24Dec187408May1897,46,Harry,Gower,24-Dec-1874,R1,SK,CW,08-May-1897
JGFI21Sep186808May1897,47,Jim,Grace,21-Sep-1868,R1,FI,CA,08-May-1897
MGFI24Jul187408May1897,48,Mick,Grace,24-Jul-1874,R1,FI,CA,08-May-1897
JGES05May187508May1897,49,Johnny,Graham,05-May-1875,R1,ES,GE,08-May-1897
JGCW13Feb187608May1897,50,Jim,Gregory,13-Feb-1876,R1,CW,SK,08-May-1897
JGES18May187408May1897,51,Joe,Groves,18-May-1874,R1,ES,GE,08-May-1897
FHCW03Apr187308May1897,52,Frank,Hailwood,03-Apr-1873,R1,CW,SK,08-May-1897
THSK08Feb187608May1897,53,Ted,Hall,08-Feb-1876,R1,SK,CW,08-May-1897
BHCA28Sep187408May1897,54,Brook,Hannah,28-Sep-1874,R1,CA,FI,08-May-1897
GHES13Jan187708May1897,55,George,Hastings,13-Jan-1877,R1,ES,GE,08-May-1897
AHSK02Oct187408May1897,56,Algy,Hay,02-Oct-1874,R1,SK,CW,08-May-1897
THCA16May186908May1897,57,Ted,Heffernan,16-May-1869,R1,CA,FI,08-May-1897
PHFI03Sep187108May1897,58,Pat,Hickey,03-Sep-1871,R1,FI,CA,08-May-1897
THGE26Mar187808May1897,59,Teddy,Holligan,26-Mar-1878,R1,GE,ES,08-May-1897
BHSY11Aug187208May1897,60,Bert,Howson,11-Aug-1872,R1,SY,ME,08-May-1897
EJGE14Feb187408May1897,61,Eddy,James,14-Feb-1874,R1,GE,ES,08-May-1897
EJFI04Oct187908May1897,62,Ern,Jenkins,04-Oct-1879,R1,FI,CA,08-May-1897
EJME18Jul187608May1897,63,Edwin,Jenkyn,18-Jul-1876,R1,ME,SY,08-May-1897
GJCA12Feb187708May1897,64,George,Johnston,12-Feb-1877,R1,CA,FI,08-May-1897
GJME04Nov186908May1897,65,George,Johnstone,04-Nov-1869,R1,ME,SY,08-May-1897
EJSK26Nov187108May1897,66,Ernest,Jones,26-Nov-1871,R1,SK,CW,08-May-1897
CKFI23Mar187808May1897,67,Chris,Kiernan,23-Mar-1878,R1,FI,CA,08-May-1897
PKFI08Jan187808May1897,68,Percy,Kimberley,08-Jan-1878,R1,FI,CA,08-May-1897
TKES27Oct187408May1897,69,Ted,Kinnear,27-Oct-1874,R1,ES,GE,08-May-1897
RLFI09Mar187008May1897,70,Roger,Lamley,09-Mar-1870,R1,FI,CA,08-May-1897
PLGE16May187408May1897,71,Paddy,Leahy,16-May-1874,R1,GE,ES,08-May-1897
JLME12Aug187208May1897,72,Jack,Leith,12-Aug-1872,R1,ME,SY,08-May-1897
ALME26May187008May1897,73,Austin,Lewis,26-May-1870,R1,ME,SY,08-May-1897
ALSK04Sep187508May1897,74,Arch,Lowe,04-Sep-1875,R1,SK,CW,08-May-1897
JLGE27Jun186908May1897,75,John,Lucas,27-Jun-1869,R1,GE,ES,08-May-1897
TMGE24Dec187308May1897,76,Tom,Maguire,24-Dec-1873,R1,GE,ES,08-May-1897
GMES26Jan187508May1897,77,George,Martin,26-Jan-1875,R1,ES,GE,08-May-1897
BMSK18May187608May1897,78,Bill,Matthews,18-May-1876,R1,SK,CW,08-May-1897
DMFI15Jun187708May1897,79,Dick,McCabe,15-Jun-1877,R1,FI,CA,08-May-1897
FMGE27Dec187208May1897,80,Firth,McCallum,27-Dec-1872,R1,GE,ES,08-May-1897
CMSY26Feb187408May1897,81,Charlie,McCartney,26-Feb-1874,R1,SY,ME,08-May-1897
BMES12Apr187908May1897,82,Bob,McCormick,12-Apr-1879,R1,ES,GE,08-May-1897
BMME07Nov187208May1897,83,Bill,McCulloch,07-Nov-1872,R1,ME,SY,08-May-1897
RMCW29Apr187808May1897,84,Rhoda,McDonald,29-Apr-1878,R1,CW,SK,08-May-1897
FMME11Nov187408May1897,85,Fred,McGinis,11-Nov-1874,R1,ME,SY,08-May-1897
DMSY23Nov186708May1897,86,Dinny,McKay,23-Nov-1867,R1,SY,ME,08-May-1897
BMGE10Jul187908May1897,87,Bill,McKay,10-Jul-1879,R1,GE,ES,08-May-1897
NMME13Apr187908May1897,88,Norm,McLeod,13-Apr-1879,R1,ME,SY,08-May-1897
SMFI18Jul186908May1897,89,Sam,McMichael,18-Jul-1869,R1,FI,CA,08-May-1897
TMSK03Jun187408May1897,90,Tom,McNamara,03-Jun-1874,R1,SK,CW,08-May-1897
HMCA14Mar187708May1897,91,Henry,McPetrie,14-Mar-1877,R1,CA,FI,08-May-1897
HMGE09Feb187308May1897,92,Henry,McShane,09-Feb-1873,R1,GE,ES,08-May-1897
JMGE28Feb187108May1897,93,Jim,McShane,28-Feb-1871,R1,GE,ES,08-May-1897
JMGE29Nov186808May1897,94,Joe,McShane,29-Nov-1868,R1,GE,ES,08-May-1897
BMFI25Sep187408May1897,95,Bill,McSpeerin,25-Sep-1874,R1,FI,CA,08-May-1897
HMME22Nov187408May1897,96,Henry,Mitchell,22-Nov-1874,R1,ME,SY,08-May-1897
JMCW21Aug187308May1897,97,Jack,Monohan,21-Aug-1873,R1,CW,SK,08-May-1897
GMME22Oct187208May1897,98,George,Moodie,22-Oct-1872,R1,ME,SY,08-May-1897
DMFI18Aug187508May1897,99,Dan,Moriarty,18-Aug-1875,R1,FI,CA,08-May-1897
GMFI28Oct187108May1897,100,Geoff,Moriarty,28-Oct-1871,R1,FI,CA,08-May-1897
GMME14May187408May1897,101,George,Moysey,14-May-1874,R1,ME,SY,08-May-1897
AMFI25Jul187608May1897,102,Arch,Muirhead,25-Jul-1876,R1,FI,CA,08-May-1897
TMGE25Dec186808May1897,103,Tom,Mullen,25-Dec-1868,R1,GE,ES,08-May-1897
BNSK08Feb187508May1897,104,Bill,Newton,08-Feb-1875,R1,SK,CW,08-May-1897
JNFI20Nov186908May1897,105,Jerry,Nolan,20-Nov-1869,R1,FI,CA,08-May-1897
BOCW23Mar187708May1897,106,Bill,OBrien,23-Mar-1877,R1,CW,SK,08-May-1897
WOCA17Jun187508May1897,107,Wally,OCock,17-Jun-1875,R1,CA,FI,08-May-1897
MOSY08Nov187408May1897,108,Michael,OGorman,08-Nov-1874,R1,SY,ME,08-May-1897
JOSK15Sep187208May1897,109,Joe,OGrady,15-Sep-1872,R1,SK,CW,08-May-1897
JOSY19Sep187408May1897,110,Jim,OHara,19-Sep-1874,R1,SY,ME,08-May-1897
POES29Oct187308May1897,111,Pat,OLoughlin,29-Oct-1873,R1,ES,GE,08-May-1897
GOES15Sep187508May1897,112,Gus,Officer,15-Sep-1875,R1,ES,GE,08-May-1897
NOES29Mar186908May1897,113,Ned,Officer,29-Mar-1869,R1,ES,GE,08-May-1897
CPCW02Oct187408May1897,114,Charlie,Pannam,02-Oct-1874,R1,CW,SK,08-May-1897
JPGE09Jun187708May1897,115,Jack,Parkin,09-Jun-1877,R1,GE,ES,08-May-1897
BPGE10Oct187508May1897,116,Bob,Paterson,10-Oct-1875,R1,GE,ES,08-May-1897
TPCW26Oct187408May1897,117,Tom,Paterson,26-Oct-1874,R1,CW,SK,08-May-1897
JPCA05Sep187808May1897,118,Joe,Paton,05-Sep-1878,R1,CA,FI,08-May-1897
SPSK07Aug187108May1897,119,Syd,Phillips,07-Aug-1871,R1,SK,CW,08-May-1897
BPGE24Jul187508May1897,120,Billy,Pincott,24-Jul-1875,R1,GE,ES,08-May-1897
MPSY12Nov187408May1897,121,Mick,Pleass,12-Nov-1874,R1,SY,ME,08-May-1897
APGE22Sep186908May1897,122,Alf,Pontin,22-Sep-1869,R1,GE,ES,08-May-1897
DPCW29Jul187208May1897,123,Dick,Poole,29-Jul-1872,R1,CW,SK,08-May-1897
BPCW11Jun186808May1897,124,Bill,Proudfoot,11-Jun-1868,R1,CW,SK,08-May-1897
HPSY28Aug186708May1897,125,Harry,Purdy,28-Aug-1867,R1,SY,ME,08-May-1897
