Player,Team,Games,Kicks,Marks,Handballs,Disposals,Goals,Behinds,Hit Outs,Tackles,Rebound 50s,Inside 50s,Clearances,Clangers,Frees For,Frees Against,Brownlow Votes,Contested Possessions,Uncontested Possessions,Contested Marks,Marks Inside 50,One Percenters,Bounces,Goal Assists
"Treloar, Adam",CW,24,335,95,454,789,10,4, ,117,23,95,143,101,27,24,18,314,451,2,5,16,25,18
"Macrae, Jack",WB,23,342,101,425,767,5,2,2,120,34,96,118,87,43,21,22,308,462,3,2,31,8,22
"Neale, Lachie",BL,24,301,98,441,742,12,7, ,90,40,84,189,71,36,23,26,379,362,2,5,18,13,12
"Taranto, Tim",GW,26,431,120,290,721,11,13, ,164,58,107,136,125,24,33,9,288,422,3,7,36,1,13
"Gaff, Andrew",WC,22,437,141,265,702,3,1, ,52,56,93,93,73,18,16,13,199,486,3,4,14,15,13
"Prestia, Dion",RI,25,386,86,300,686,7,15, ,123,58,122,147,106,32,29,8,291,395,1,6,27,3,16
"Lloyd, Jake",SY,22,431,137,246,677,3,4, ,37,158,39,14,49,13,8,3,106,437,3,4,41,10,5
"Crouch, Brad",AD,22,338,65,327,665,11,12,1,111,41,86,117,82,23,14,14,243,389,3,7,14,4,6
"Oliver, Clayton",ME,22,248,82,413,661,4,4, ,139,37,97,153,110,28,33,12,359,307,3,5,28,2,9
"Pendlebury, Scott",CW,24,345,105,310,655,12,8, ,112,31,120,104,61,30,9,14,237,422,5,2,43,3,13
"Dunkley, Josh",WB,23,307,95,344,651,11,8,11,141,29,85,121,71,45,19,15,314,336,8,15,53,1,11
"Merrett, Zach",ES,23,338,90,313,651,8,10, ,124,44,110,107,82,41,11,16,245,412,4,2,41,8,14
"Dangerfield, Patrick",GE,24,352,119,298,650,27,18,1,104,22,141,139,112,44,38,27,349,308,30,19,38,13,17
"Shuey, Luke",WC,24,409,81,238,647,8,2, ,129,53,128,156,107,34,35,15,260,375, ,2,56,9,13
"Boak, Travis",PA,21,306,70,331,637,10,13,1,102,24,97,146,90,25,26,16,308,323,2,7,18, ,14
"Kelly, Tim",GE,25,381,89,254,635,24,18, ,106,42,111,147,99,31,21,24,292,351,1,8,18,17,17
"Sheed, Dom",WC,24,344,128,291,635,16,15, ,39,38,113,119,85,20,18,12,269,374,3,11,19,11,8
"Laird, Rory",AD,22,322,125,301,623, ,1, ,47,111,47,17,41,21,7,2,159,428,5, ,30,5,7
"Crouch, Matt",AD,19,270,77,350,620,7,4, ,65,44,61,93,59,15,15,8,216,398,2,3,13,4,9
