Team,Kicks,Marks,Handballs,Disposals,Goals,Behinds,Hit Outs,Tackles,Rebound 50s,Inside 50s,Clearances,Clangers,Frees For,Brownlow Votes,Contested Possessions,Uncontested Possessions,Contested Marks,Marks Inside 50,One Percenters,Bounces,Goal Assists
Adelaide,4670,1854,4172,8842,290,211,1056,1644,847,1195,906,1280,408,45,3597,5242,294,243,1221,139,183
Brisbane Lions,4721,1988,3896,8617,429,242,879,1486,659,1372,890,1098,466,112,3286,5318,272,399,1023,218,298
Carlton,4400,1933,3745,8145,287,216,804,1485,816,1148,800,1079,387,87,2975,5179,232,276,1039,142,211
Collingwood,4511,2074,3908,8419,294,199,774,1492,768,1131,764,1121,404,66,3065,5363,230,309,1034,115,208
Essendon,4752,2222,4019,8771,350,219,808,1383,720,1270,788,1061,372,96,3144,5665,282,331,983,178,231
Fremantle,4715,2097,4031,8746,306,226,867,1706,687,1181,781,1059,392,87,3191,5587,262,278,1023,187,210
Geelong,4799,2050,3822,8621,254,160,875,1619,943,1076,851,1244,514,48,3238,5303,174,203,1149,160,179
Gold Coast,4695,2094,3952,8647,328,246,997,1494,729,1261,803,1020,401,87,3122,5518,246,317,1029,187,241
Greater Western Sydney,4759,1985,3855,8614,260,202,956,1546,900,1258,875,1187,488,40,3352,5221,274,248,1209,175,175
Hawthorn,4772,1900,4112,8884,291,187,1047,1607,834,1136,953,1251,447,59,3603,5308,306,273,1098,110,185
Melbourne,4455,1779,3507,7962,288,207,791,1800,803,1117,782,1106,423,61,3155,4753,251,267,1062,114,201
North Melbourne,4549,1927,3779,8328,285,228,850,1475,790,1210,882,1170,401,69,3249,5108,286,253,1118,153,193
Port Adelaide,4641,1868,3690,8331,275,220,1134,1512,815,1204,880,1165,467,68,3342,4963,228,254,1164,127,189
Richmond,4540,2031,3525,8065,314,204,727,1565,668,1221,778,1113,440,80,3011,5047,243,260,1038,116,206
St Kilda,4615,2187,3993,8608,300,203,833,1298,802,1175,778,1041,394,56,3047,5601,291,285,1010,160,220
Sydney,5361,2032,4225,9586,253,219,1049,2054,974,1375,972,1386,518,27,3957,5584,284,227,1334,179,159
West Coast,4737,2049,3941,8678,254,202,859,1761,789,1120,896,1208,435,49,3206,5473,255,257,1150,111,174
Western Bulldogs,5343,2588,4228,9571,278,193,1119,1975,1029,1163,814,1351,418,51,3485,6137,326,292,1215,144,209
