Team,Kicks,Marks,Handballs,Disposals,Goals,Behinds,Hit Outs,Tackles,Rebound 50s,Inside 50s,Clearances,Clangers,Frees For,Brownlow Votes,Contested Possessions,Uncontested Possessions,Contested Marks,Marks Inside 50,One Percenters,Bounces,Goal Assists
Adelaide,4946,2080,3698,8644,256,190,898,1389,900,1120,835,1111,405,53,3248,5268,246,217,1011,109,165
Brisbane Lions,5413,2146,3078,8491,307,236,1035,1532,941,1345,1005,1366,497,90,3561,4760,292,260,1241,81,192
Carlton,4812,1992,2962,7774,231,183,853,1381,903,1054,887,1261,398,60,3131,4441,266,214,1065,124,158
Collingwood,5524,2502,4110,9634,290,204,1125,1511,912,1244,869,1297,474,81,3519,6013,294,296,1191,142,191
Essendon,4929,2014,3522,8451,256,181,736,1418,967,1154,835,1297,430,58,3277,5014,274,214,1154,261,169
Fremantle,4753,1880,3484,8237,225,181,858,1275,870,1134,834,1205,402,69,3339,4852,269,235,1230,87,150
Geelong,5434,2259,3682,9116,320,226,893,1653,977,1305,980,1319,471,90,3756,5221,308,303,1264,107,233
Gold Coast,4630,1908,2930,7560,194,159,1173,1406,913,995,879,1230,439,22,3113,4331,223,193,1035,83,125
Greater Western Sydney,6037,2668,3813,9850,322,226,1011,1654,1051,1339,1082,1504,445,84,3740,6022,271,291,1343,172,229
Hawthorn,4768,2018,3324,8092,250,182,951,1424,818,1159,756,1195,382,67,3079,4910,303,237,1123,94,185
Melbourne,4664,1916,3324,7988,223,181,1032,1344,830,1187,855,1304,409,47,3275,4640,227,254,1094,64,165
North Melbourne,4460,1791,3833,8293,265,192,868,1253,822,1140,793,1178,427,68,3202,5090,242,263,1082,103,187
Port Adelaide,5015,1932,3680,8695,257,219,961,1412,798,1278,909,1229,432,66,3419,5142,222,260,1267,79,177
Richmond,5310,2197,3834,9144,322,209,803,1569,954,1395,848,1454,461,72,3429,5554,258,302,1299,242,229
St Kilda,4693,1998,3234,7927,233,201,692,1411,813,1120,838,1144,398,53,3081,4793,238,254,1067,154,175
Sydney,4798,2001,3361,8159,248,183,628,1455,975,1049,758,1231,389,53,3037,4881,268,264,1032,120,169
West Coast,5433,2384,3015,8448,309,176,871,1382,945,1211,941,1255,455,74,3259,5092,281,258,1367,140,211
Western Bulldogs,5131,2122,3844,8975,287,234,561,1430,864,1274,849,1158,478,81,3244,5556,236,292,1246,151,211
